,Naive,NPP_C5,SUB,SPP_C5,gene
1,-1.11448079445888,-1.064452572848,0.530885488753579,1.14608933930837,Slc1a2
2,-1.19716979056153,-0.999807249594781,0.131619057216406,1.16687179994266,Tox
3,-1.11609931867657,-0.89173357319358,0.0359616210554088,1.33100219336299,Mllt3_2
4,-0.86249885446781,-0.966418591177913,-0.157943066363757,1.22231409739281,Mllt3_3
5,-1.21618967249656,-1.10306486806772,0.514139944649385,1.10078548219791,Mllt3_4
6,-0.756265824134386,-0.851041808026992,0.322352841166381,1.15289068432686,2310001H17Rik
7,-1.13920926309686,-0.996927301574698,0.0201769852445162,0.804519590548006,Crtam_1
8,-0.544901957248972,-1.04570562174088,-0.0472234619898621,0.635897775714156,ENSMUSG00000097223
9,-1.02502406842701,-1.00518711158102,-0.268347711756475,0.313489366139327,ENSMUSG00000097223_2
10,-1.18782150100671,-0.853158680674042,-0.0525217688973826,1.15381894997195,Fyn_5
11,-0.528435314437938,-0.965861435217116,-0.531668241321338,0.437539101951225,Hif1a_1
12,-0.879978567483107,-0.939601082015918,0.457896689394081,1.13555184994453,Nfatc1_1
13,1.05057943546409,0.948656306154925,0.199466622498629,-0.533302560872327,Tox_4
14,1.09101785381432,0.697563323841455,0.541997040652976,-1.02547127875104,Crtam
15,0.332653564872381,1.2271482523496,-0.154757545771294,-0.939996305360484,Zfp229_1
16,1.21480780160117,0.735244190069017,0.194075164443277,-1.0187432885529,Nfatc1_6
17,-0.830373289753607,-0.960579456215634,0.237753647744602,1.49468120907775,Glt28d2
18,-0.83392025365355,-0.701667443753728,-0.33269836046298,1.57722403400577,Tox_1
19,-0.818246687293973,-0.652653575084601,-0.578685823887074,1.65381637574926,Mllt3
20,-0.653143658000045,-0.682595520946094,-0.309684273873905,1.46573442871695,Mllt3_1
21,-0.794800945421374,-0.918785912512038,0.479950421639945,1.14297772403645,Ptpn13_1
22,-0.752040062025868,-0.598345110622991,-0.651702739706163,1.4512939084228,Maf
23,-0.850584045710785,-0.482216239023513,-0.617195586997904,1.69505547665763,Mmp10
24,-0.757248583963188,-0.705222456838912,-0.409537667352904,1.18176930875712,ENSMUSG00000097223_1
25,-1.01543985964866,-0.80134081520866,-0.269682371732597,1.48070843672324,Fyn_2
26,-0.962673957347377,-1.02574198641184,-0.0717476210702611,1.28451407604744,Fyn_4
27,-0.413551094106467,-0.924621017777589,0.110228921902805,1.32617570595378,Nfatc1_2
28,-1.07829203059425,-0.574576163826025,-0.00441979550289121,1.26572972609889,Nfatc1_3
29,0.168307108541316,0.729486917293438,1.263962178657,-0.329809619563811,Tox_3
30,0.976827890694903,0.607063618369635,0.725665130636585,-0.707846195077183,Echdc2_1
