Cluster,Score,Type,Gene,Symbol,Network
1,3.5714285714285716,Clustered,12458,Ccr6,Geneid_SUB1
1,3.5714285714285716,Clustered,66066,Gng11,Geneid_SUB1
1,3.5714285714285716,Clustered,57349,Ppbp,Geneid_SUB1
1,3.5714285714285716,Clustered,12977,Csf1,Geneid_SUB1
1,3.5714285714285716,Seed,83453,Chrdl1,Geneid_SUB1
1,3.5714285714285716,Clustered,21923,Tnc,Geneid_SUB1
1,3.5714285714285716,Clustered,12776,Ccr8,Geneid_SUB1
1,3.5714285714285716,Clustered,29817,Igfbp7,Geneid_SUB1
1,3.5714285714285716,Clustered,18619,Penk,Geneid_SUB1
1,3.5714285714285716,Clustered,20750,Spp1,Geneid_SUB1
1,3.5714285714285716,Clustered,22393,Wfs1,Geneid_SUB1
1,3.5714285714285716,Clustered,14678,Gnai2,Geneid_SUB1
1,3.5714285714285716,Clustered,11487,Adam10,Geneid_SUB1
1,3.5714285714285716,Clustered,20290,Ccl1,Geneid_SUB1
3,1.5,Clustered,16412,Itgb1,Geneid_SUB1
3,1.5,Seed,27027,Tspan32,Geneid_SUB1
3,1.5,Clustered,17886,Myh9,Geneid_SUB1
3,1.5,Clustered,12477,Ctla4,Geneid_SUB1
2,1.2,Clustered,12615,Cenpa,Geneid_SUB1
2,1.2,Clustered,16364,Irf4,Geneid_SUB1
2,1.2,Clustered,20371,Foxp3,Geneid_SUB1
2,1.2,Clustered,114642,Brdt,Geneid_SUB1
2,1.2,Clustered,70122,Mllt3,Geneid_SUB1
5,1.0,Clustered,18710,Pik3r3,Geneid_SUB1
5,1.0,Seed,13616,Edn3,Geneid_SUB1
5,1.0,Clustered,16963,Xcl1,Geneid_SUB1
4,1.5,Clustered,17068,Ly6d,Geneid_SUB2
4,1.5,Seed,109979,Art3,Geneid_SUB2
4,1.5,Clustered,64931,Izumo1r,Geneid_SUB2
4,1.5,Clustered,68404,Nrn1,Geneid_SUB2
